row	esperanto	verdict	target_column	suggested_minimal	reason	flags	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans
5	-aĉ-	keep	-	-	接尾辞説明として日中韓とも機能は概ね一致。	scope_ko:8	5	8	{Ｂ}［接尾辞］（粗悪・下品を示す）, >>dom〜o, >>knab〜o	表示无价值，无用，不好，劣	형편없거나 질 낮음을 나타내는 접미사
7	-eg-	optional_low	Chinese_Trans	表示“大、强烈（增大义）”的后缀	ZHが「大」単語のみで学習注釈としてやや圧縮。	scope_zh:8|scope_ko:8	8	8	{Ｂ}［接尾辞］（強大を示す）, >>arb〜o, >>varm〜a	大	뜻을 매우 크고 강하게 만드는 접미사
9	-er-	keep	-	-	構成要素義は日中韓とも成立。	scope_zh:8|scope_ko:8	8	8	{Ｂ}［接尾辞］（構成粒子・要素を示す）, >>fajr〜o, >>mon〜o	某物的构成分子	작은 입자·요소를 나타내는 접미사
10	-et-	optional_low	Chinese_Trans	表示“小、弱（缩小义）”的后缀	ZHが「小」のみでニュアンス不足。	scope_zh:8|scope_ko:8	8	8	{Ｂ}［接尾辞］（弱小を示す）, >>lag〜o, >>varm〜a	小	작음·약함을 나타내는 접미사
12	-ing-	keep	-	-	日中韓とも道具を作る接尾辞義が十分。	scope_zh:8|scope_ko:8	8	8	{Ｂ}［接尾辞］（ものを差し込んで使う道具を示す）, >>kandel〜o, >>glav〜o	表示插物的器具	한쪽 끝에 물건을 꽂아 쓰는 도구
25	-um-	keep	-	-	不定義接尾辞として自然。	scope_zh:8|scope_ko:8	8	8	{Ｂ}［接尾辞］（特定の意味を持たない）, >>gust〜i, >>man〜o	（含义不定）	관습적으로 쓰이는 다의적 접미사
27	-ĉj-	keep	-	-	男子愛称接尾辞として十分。	scope_zh:8|scope_ko:8	8	8	{Ｂ}［接尾辞］（男子の愛称を示す）, >>Vil〜o, >>pa〜o	构成对男子的爱称	남자 이름·호칭에 붙는 애칭 접미사
37	abelo	optional_low	Chinese_Trans	蜜蜂；（泛）小型蜂类	JAにある「一般の小型ハチ」義を軽補完。	scope_zh:10|scope_ko:9	10	9	{Ｂ}【虫】ミツバチ（蜜蜂）（属）; 《般》（小型の）ハチ（蜂）, >>〜	蜜蜂属昆虫	꿀벌, 작은 벌
38	aboni	keep	-	-	定期購読・予約義で十分。	scope_zh:8|scope_ko:9	8	9	{Ｂ}［他］（一定期間・継続的に）予約する, 購読する, >>〜, >>antaŭmendi	预付订阅，定期预订	정기구독하다
39	absoluta	keep	-	-	絶対義の対応は良好。	scope_zh:9|scope_ko:9	9	9	{Ｂ}絶対の, 無条件の, 完全な, 全くの, >>senkondiĉa, >>〜	绝对的，无条件的，完全的	절대적인, 무조건의, 완전한 상태
