row	batch	esperanto	score_zh	score_ko	score_sum	Japanese_Trans	Chinese_Trans	Korean_Trans	batch_start
56	1-100	afero	24	21	45	{Ｂ}物事（ものごと）, 事, 事柄, 事項; 用件, 用事, 問題; 事件, 出来事; 事業, 業務; 【法】訴訟事件; 【商】取引, >>negoco	事情，事务，案件；（法）诉讼事件；（商）交易	일, 사건, 용무, 【법】소송 사건, 【상업】거래	1
62	1-100	ajlo	19	17	36	{Ｂ}【植】ニンニク（葫）; 《般》にんにく（球根）, =〜bulbo; 《般》ネギ（葱）, =tub〜; 《般》ニラ（韮）	大蒜；葱属植物	마늘; (식물) 파속 식물	1
129	101-200	arko	23	24	47	{Ｂ}弓形; 弓, =paf〜; 【数】弧; 【建】アーチ; 【理】電弧, =lum〜; 【解】弓	弧，拱形物；弓；[物] 电弧	활 모양; (수학) 호, (물리) 전호	101
188	101-200	bazo	33	31	64	{Ｂ}土台, 基礎, 礎石; 《転》基盤, 根拠; 【生】基部; 【化】塩基; 【数】基数; 【数】基底; 【数】底辺; 【軍】基地	基础，根基；（化）碱；（数）基数，底边；基地	기초, 토대；（화학） 염기；（수학） 기수, 밑변；기지	101
204	201-300	bildo	16	27	43	{Ｂ}絵, 図, 挿絵; 像, 光景; 映像, 影; 心象; 似姿; 比喩（ひゆ）; 【理】像; 【情】画像	图；像；影像；情景；意象；比喻形象	그림, 영상, 심상, 광경, 비유	201
269	201-300	ciklo	21	21	42	{Ｂ}周期, 循環, サイクル; 【文】（同一主題の）物語群, 連作; 【化】炭素環; 【環】（物質の）循環, =cirkulado; 【理】サイクル（周波数の単位，c）	周期；循环；（文）组诗；（化）环	주기, 순환; (문학) 연작; (화학) 고리	201
327	301-400	disko	18	22	40	{Ｂ}円盤; 【運】円盤; 【楽】レコード盤; 【情】ディスク, （特に）ハードディスク, >>dur〜	铁饼，唱片，盘状物；（计）磁盘	레코드판, 디스크	301
350	301-400	dramo	19	19	38	{Ｂ}【劇】正劇（古典的な悲劇・喜劇に分類されない近代的な市民劇）, >>tragiko, >>〜; 《般》演劇, 戯曲, =teatraĵo; 《転》劇的事件, ドラマ	（近代）正剧；戏剧；戏剧性事件	연극, 희곡; (비유) 극적인 사건	301
401	401-500	epoko	17	15	32	{Ｂ}時代; 【地質】世, >>〜（紀）, >>erao（代）, >>〜（期）	纪元，时代	역사에서 구분되는 일정한 시대	401
464	401-500	figuro	19	16	35	{Ｂ}姿, 人物（像）; 形, 図; 【美】像, フィギュア; 【数】図形; 【Ｇ】文彩, （ことばの）あや, 比喩的表現	外形，轮廓；肖像；图形	사람·사물의 형태; (수학) 도형; (수사) 비유적 표현	401
522	501-600	frukto	19	20	39	{Ｂ}【植】果実, 実（み）, >>drupo, >>〜, >>〜; くだもの; 《転》成果, 結果	果实；水果；（转）成果	과일, 열매; (비유) 성과	501
545	501-600	gento	15	13	28	{Ｂ}（共通の祖先に由来する集団）部族, 一族; 民族, 種族, >>〜, >>〜, >>〜	种族，氏族，部族	공통 조상을 가진 종족이나 부족	501
628	601-700	ideo	18	14	32	{Ｂ}観念; 考え, 思想; 思いつき, アイデア; 【哲】イデア; 【楽】楽想	观念，主意，理想	관념, 생각, 아이디어; (철학) 이데아	601
652	601-700	infero	21	16	37	{Ｂ}【宗】地獄; 《転》修羅場, 生き地獄; 死後の世界, 冥界, >>Hadeso, >>Ŝeolo	地狱	죽은 자가 가는 지하 세계, 지옥	601
797	701-800	kolono	23	21	44	{Ｂ}【建】円柱, 柱; 記念柱; 《転》柱状のもの; 《転》大黒柱（人）; 【印】=〜（欄）; 【軍】縦隊	圆柱，支柱；（排版）栏；（军）纵队	원주, 기둥; (인쇄) 난(欄); (군사) 종대	701
799	701-800	kolumno	19	20	39	{Ｂ}【印】（縦の）欄; （新聞の）コラム; （縦の）列; 【遊】（チェス盤などの）縦列, =〜; 【数】（数の）桁（けた）	栏，纵列；（数）数位	신문의 칼럼, 세로 난	701
870	801-900	korpo	16	15	31	{Ｂ}体, 身体, 肉体; 胴体; 本体; 物体; 【理】物体; 【数】体	身体，体；物体；（数）体	신체, 몸; 물체; (수학) 체	801
872	801-900	korvo	16	16	32	{Ｂ}【鳥】カラス（属）（鴉、烏）, >>korako, >>〜, >>monedo	鸦属鸟类	까마귀	801
957	901-1000	lango	18	11	29	{Ｂ}【解】舌; 【料】（牛などの）舌肉, タン; 舌状のもの; 《転》話しぶり, 弁舌	舌头，口才	혀; (식용) 혀고기; (비유) 말솜씨	901
991	901-1000	linio	18	24	42	{Ｂ}線, 境界線, すじ; 列, 並び, 系統; （文字の）行; 【数】線; 【交】路線; 【運】ライン	线；列，系统；行；路线	선, 줄, 행, 노선, 계통	901
1061	1001-1100	membro	22	22	44	{Ｂ}会員, 一員, 構成員, メンバー; （構成）要素, 部分; 【解】肢（手または足）; （人・動植物の）体の一部器官（肢，手，足，脚，舌，翼，羽，枝，葉，茎，根など）	肢；成员，会员	구성원; (신체) 사지(손·발)	1001
1100	1001-1100	modelo	24	20	44	{Ｂ}模型, 原型, ひな型, 手本; 《転》模範; 【美】モデル（人）; 【服】ファッションモデル; 【学】（理論の）モデル	模型，模特，写生用的实物	모형, 원형, 본보기; (인물) 모델	1001
1167	1101-1200	nigra	22	21	43	{Ｂ}黒い, 黒色の, 黒ずんだ; 暗い, 闘の, 曇った; 《転》陰気な; 《転》悪意のある; 《転》邪悪な; 《転》不正な	黑色的；（转）阴暗的，邪恶的，不正的	검은, 흑색의, 《전》음침한, 사악한, 불법적인	1101
1171	1101-1200	nodo	48	42	90	{Ｂ}結び目, 結び; 交点, 交差点; 要所, 核心; （動植物の）節, こぶ; 【解】結節; 【天】交点; 【理】（定常波の）節, ><〜; 【光】節点; 【海】ノット; 【情】節点, ノード, >>ret〜	结，交点；要点；（计）节点	매듭, 교점, 요점, 【물리】파동의 마디, 【항해】노트（속도 단위）, （컴퓨터）노드	1101
1218	1201-1300	ordo	31	22	53	{Ｂ}順序, 順番, 序列; 秩序, 整頓; 社会秩序, 治安; 【数】次数; 【軍】隊形; 【建】オーダー, 柱式; 【生】（分類学上の）目（もく）	次序，秩序；（生物分类）目	순서, 질서, 【군사】대형, 【건축】주식(柱式), 【생물】목(目)	1201
1228	1201-1300	oro	20	22	42	{Ｂ}金, 黄金, 金貨; 【化】金; 《転》富, 金銭; （金のように）貴重なもの; 【遊】（将棋の）金将	金；金钱	금, 황금	1201
1306	1301-1400	piedo	18	15	33	{Ｂ}【解】足（足首から先）; （一般に）足, （動物の）脚; （物体の）脚部, 下部, 基部; 【文】詩脚	脚	발, 발목부터 끝까지의 부분	1301
1363	1301-1400	potenco	15	17	32	{Ｂ}威力, 強さ; 勢力, 権力, 支配力; 《転》強国; 【数】累乗, べき	力量，权力，权，政权	힘, 권력	1301
1441	1401-1500	radio	21	25	46	{Ｂ}光線; 【理】（熱線・Ｘ線などの）線, 放射線; 放射状のもの; 【数】半径; 【機】スポーク; 《転》光明, 輝き / ラジオ放送; ラジオ放送局; =>ラジオ受信機	光线，射线；无线电广播；收音机；广播电台；半径；辐条	빛의 줄기, 광선；라디오（방송）；（수학） 반지름；바퀴살	1401
1486	1401-1500	revizii	21	23	44	{Ｂ}［他］検査する; 再検討する, 見直す, 修正する; 【印】校正する, 校訂する, 校閲する; 【法】再審する; 【機】保守点検する	检查；校订，核对	검사하거나 재검토하여 수정하다	1401
1509	1501-1600	ripo	18	22	40	{Ｂ}【解】肋骨（ろっこつ）, あばら骨; 【植】葉脈, =nervuro; 【織】うね; 【機】リブ, 補強材; 【海】肋材	肋骨；【植】叶脉；【机】肋板，加强筋	갈비뼈, 【식물】잎맥, 【기계】리브, 보강재	1501
1577	1501-1600	serio	25	22	47	{Ｂ}連続, ひと続き, 続き物, シリーズ; 【化】系列; 【理】直列, >>〜; 【数】級数; 【地質】統（とう）	系列；（理）串联；（数）级数	연속, 시리즈; (물리) 직렬; (수학) 급수	1501
1641	1601-1700	spirito	26	25	51	{Ｂ}精神（霊魂）, 霊, 心; 魂, 霊魂, 亡霊; 精, 精霊; 気風, 気質, >>〜, >>〜, >>〜	精神（反：物质），灵魂	정신, 영혼, 기풍	1601
1659	1601-1700	stranga	22	23	45	{Ｂ}奇妙な, 変な, 不思議な, おかしい, 異様な, >>bizara, >>〜, >>originala, >>ekstravaganca, >>〜	奇怪，奇异，奇特	이상한, 기묘한	1601
1756	1701-1800	tono	39	36	75	{Ｂ}【楽】（一定の音高の）楽音, 音; 【楽】主音, =toniko; 【楽】全音; 【声】声調; 口調, 語調; 色調, 色合い, トーン; 調子; 【写】（画像の）色調	乐音，语调，腔调，色调	소리의 높낮이, 어조; 색조, 톤	1701
1786	1701-1800	trunko	30	29	59	{Ｂ}【植】幹（みき）; 【解】体幹, 胴体; 【解】幹（かん）; 【数】（円錐台などの）台; 【建】柱身; 【海】錨幹（びょうかん）	树干，躯干；（数）截头体	나무줄기, 몸통; (수학) 절두체	1701
1832	1801-1900	vazo	27	25	52	{Ｂ}容器, うつわ, つぼ, かめ, 花びん, はち, >>〜, >>〜, >>〜 / 【解】（複合語で）脈管, =angio, >>sango〜	容器，花瓶	꽃병, 항아리, 용기, （해부·복합어）맥관	1801
1864	1801-1900	vigla	28	25	53	{Ｂ}活発な, 元気な, 快活な, 生き生きした, はつらつとした, >>〜, >>vivoplena, >>rapidaga; 油断のない, 警戒を怠らない, >>observema; 【商】活況の	活跃，精神焕发，活泼	활기차고 원기 왕성한, 생기 있고 활발한	1801
1910	1901-2000	ĉelo	25	18	43	{Ｂ}独居房; 【生】細胞; 【虫】（ハチの）巣穴; 【政】細胞; 【理】電子管, セル; 【遊】（チェス盤などの）ます目	小房间，单间，囚室；蜂房，细胞	독방; (생물) 세포; (벌집) 벌집 칸; (정치) 세포	1901
1959	1901-2000	ŝelo	19	18	37	{Ｂ}（生物の）外皮, 皮, 樹皮, 殻（から）, 甲; 【海】船体; 【空】（航空機の）機体 / 【情】シェル, =komandinterpretilo	外皮，壳；（计算机）命令解释器（shell）	껍질; (정보) 셸(명령 해석기)	1901
2070	2001-2100	distrikto	24	24	48	{Ｏ}【政】行政区, 地区, 地方, >>〜, >>〜, >>departemento, >>kantono, >>〜	行政区，地区	행정구역, 관할구	2001
2094	2001-2100	faktoro	16	14	30	{Ｏ}要因, 因子, ファクター; 【数】因数; 【理】因子, 率; 【商】仲買人, 代理業者	因素；（数）因数；（商）代理商	요인; (수학) 인수; (상업) 대리인·중개인	2001
2160	2101-2200	kancero	14	15	29	{Ｏ}【病】がん（癌）, >>tumoro; 【植】腫瘍（しゅよう）; 【動】イチョウガニ（属）	[医] 癌；[天] 巨蟹座	암; (천문) 게자리(황도12궁)	2101
